x1	x2	f(x)	g1(x)	g2(x)	g3(x)	h(x)

3	1.2	10.44	-3.2	-7.8	1.56	2.4336
4	1.2	17.44	-4.2	-14.8	2.56	6.5536
3	2.2	13.84	-4.2	-6.8	-1.84	0
5	2.2	29.84	-6.2	-22.8	0.16	0.0256
9	2.2	85.84	-10.2	-78.8	4.16	INFINITY
5	6.2	63.44	-10.2	-18.8	-33.44	0
1	2.2	5.84	-2.2	1.2	-3.84	1.44
5	-1.8	28.24	-2.2	-26.8	1.76	3.0976
7	2.2	53.84	-8.2	-46.8	2.16	4.6656
3	6.2	47.44	-8.2	-2.8	-35.44	0
-1	2.2	5.84	-0.2	1.2	-5.84	1.44
3	-1.8	12.24	-0.2	-10.8	-0.24	0
11	-1.8	124.24	-8.2	-122.8	7.76	INFINITY
-5	-1.8	28.24	7.8	-26.8	-8.24	INFINITY
3	-9.8	105.04	7.8	-18.8	-93.04	INFINITY
3	0.2	9.04	-2.2	-8.8	2.96	8.7616
1	-1.8	4.24	1.8	-2.8	-2.24	3.24
3	-3.8	23.44	1.8	-12.8	-11.44	3.24
5	4.2	42.64	-8.2	-20.8	-12.64	0
5	0.2	25.04	-4.2	-24.8	4.96	INFINITY
4	-1.8	19.24	-1.2	-17.8	0.76	0.5776
3	-0.8	9.64	-1.2	-9.8	2.36	5.5696
2	-1.8	7.24	0.8	-5.8	-1.24	0.64
3	-2.8	16.84	0.8	-11.8	-4.84	0.64
6	2.2	40.84	-7.2	-33.8	1.16	1.3456
5	3.2	35.24	-7.2	-21.8	-5.24	0
4	2.2	20.84	-5.2	-13.8	-0.84	0
5	1.2	26.44	-5.2	-23.8	3.56	INFINITY
3.5	-1.8	15.49	-0.7	-14.05	0.26	0.0676
3	-1.3	10.69	-0.7	-10.3	1.31	1.7161
2.5	-1.8	9.49	0.3	-8.05	-0.74	0.09
3	-2.3	14.29	0.3	-11.3	-2.29	0.09
5.5	2.2	35.09	-6.7	-28.05	0.66	0.4356
5	2.7	32.29	-6.7	-22.3	-2.29	0
4.5	2.2	25.09	-5.7	-18.05	-0.34	0
5	1.7	27.89	-5.7	-23.3	2.11	4.4521
3.25	-1.8	13.8025	-0.45	-12.3625	0.01	0.0001
3.75	-1.8	17.3025	-0.95	-15.8625	0.51	0.2601
3.25	-1.3	12.2525	-0.95	-11.8625	1.56	2.4336
2.75	-1.8	10.8025	0.05	-9.3625	-0.49	0.0025
3.25	-2.3	15.8525	0.05	-12.8625	-2.04	0.0025
3.25	-1.55	12.965	-0.7	-12.1125	0.8475	0.718256
3.25	-2.05	14.765	-0.2	-12.6125	-0.9525	0
3.125	-1.8	13.0056	-0.325	-11.5656	-0.115	0
3	-1.675	11.8056	-0.325	-10.675	0.194375	0.0377816
2.875	-1.8	11.5056	-0.075	-10.0656	-0.365	0
2.875	-1.55	10.6681	-0.325	-9.81563	0.4725	0.223256
2.625	-1.8	10.1306	0.175	-8.69063	-0.615	0.030625
2.875	-2.05	12.4681	0.175	-10.3156	-1.3275	0.030625
2.875	-1.675	11.0712	-0.2	-9.94063	0.069375	0.00481289
